
g = 7
  20.  a-seq=[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 5, 6, 7, 9, 10, 11, 11, 12, 13, 13]  sum=126  Isog=[4, 3, 3, 3, 2, 2, 2, 1, 1]
  21.  a-seq=[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 8, 10, 10, 12, 12, 13, 13]  sum=127  Isog=[4, 3, 3, 3, 2, 2, 2, 1, 1]
  22.  a-seq=[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 6, 6, 7, 8, 8, 9, 9, 10, 12, 13, 13]  sum=128  Isog=[4, 4, 3, 3, 2, 2, 1, 1, 1]
  23.  a-seq=[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1]  a-number=2  type-seq=[1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 6, 7, 8, 11, 11, 12, 12, 12, 13]  sum=127  Isog=[4, 3, 3, 3, 2, 2, 2, 1, 1]
  24.  a-seq=[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 8, 10, 11, 12, 12, 13, 13]  sum=128  Isog=[4, 3, 3, 3, 2, 2, 2, 1, 1]
  25.  a-seq=[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 4, 4, 4, 5, 6, 6, 7, 8, 8, 9, 10, 10, 12, 13, 13]  sum=129  Isog=[4, 4, 3, 3, 2, 2, 1, 1, 1]
  26.  a-seq=[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]  a-number=2  type-seq=[1, 2, 2, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 8, 10, 11, 11, 12, 12, 13]  sum=129  Isog=[4, 3, 3, 3, 2, 2, 2, 1, 1]
  27.  a-seq=[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 8, 8, 9, 10, 11, 11, 12, 13]  sum=130  Isog=[4, 4, 3, 3, 2, 2, 1, 1, 1]
  28.  a-seq=[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]  a-number=2  type-seq=[1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 12, 12, 13]  sum=145  Isog=[5, 4, 4, 3, 2, 2, 1]
  29.  a-seq=[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1]  a-number=2  type-seq=[1, 2, 2, 3, 3, 4, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 12, 12, 13]  sum=143  Isog=[5, 4, 3, 3, 3, 2, 1]
